[[FileName]],[[Language]],[[Probability]]
party.alignment_00001,tr,0.999999130894694
party.alignment_00002,de,0.999998318854051
party.alignment_00003,fr,0.999995780526647
party.alignment_00004,fr,0.857140434172674
party.alignment_00005,zh-tw,0.999998723608911
party.alignment_00006,en,0.999997480643137
party.alignment_00007,ru,0.999999999572002
party.alignment_00008,pl,0.999999732096487
quests,en,0.999995045648525
quests_explorationlevel0_human,de,0.999996687057337
quests_explorationlevel0_human_00001,ru,0.99999999245793
quests_explorationlevel0_human_00002,pl,0.99999946914053
quests_explorationlevel0_human_00003,fr,0.999996811919893
quests_explorationlevel0_human_00004,fr,0.999996458800999
quests_explorationlevel0_human_00005,zh-cn,0.999997035806533
quests_explorationlevel0_human_00006,tr,0.999998257937067
quests_explorationlevel0_human_00007,zh-tw,0.999998450171942
quests_explorationlevel0dark_human,de,0.999997595147662
quests_explorationlevel0dark_human_00001,tr,0.999998620116032
quests_explorationlevel0dark_human_00002,fr,0.999998903225207
quests_explorationlevel0dark_human_00003,ru,0.999999986404722
quests_explorationlevel0dark_human_00004,fr,0.857139208725742
quests_explorationlevel0dark_human_00005,zh-tw,0.999999269787836
quests_explorationlevel0dark_human_00006,zh-cn,0.999998310834029
quests_explorationlevel0dark_human_00007,pl,0.999998095275964
quests_explorationlevel1_human,ru,0.999999999518139
quests_explorationlevel1_human_00001,tr,0.999997038657773
quests_explorationlevel1_human_00002,zh-cn,0.999998252213829
quests_explorationlevel1_human_00003,zh-tw,0.999997781938371
quests_explorationlevel1_human_00004,fr,0.999996086690024
quests_explorationlevel1_human_00005,fr,0.571428142180534
quests_explorationlevel1_human_00006,pl,0.999999177651099
quests_explorationlevel1_human_00007,de,0.999998389249242
quests_explorationlevel2_human,de,0.999996839017424
quests_explorationlevel2_human_00001,zh-tw,0.999997199085502
quests_explorationlevel2_human_00002,fr,0.999996715812025
quests_explorationlevel2_human_00003,ru,0.99999999980396
quests_explorationlevel2_human_00004,tr,0.999998912406395
quests_explorationlevel2_human_00005,pl,0.999999180493361
quests_explorationlevel2_human_00006,zh-cn,0.999997512654012
quests_explorationlevel2_human_00007,fr,0.999997646888577
quests_explorationlevel3_human,ru,0.999999999991066
quests_explorationlevel3_human_00001,fr,0.71428522535904
quests_explorationlevel3_human_00002,de,0.999996378231293
quests_explorationlevel3_human_00003,pl,0.999999268100097
quests_explorationlevel3_human_00004,zh-tw,0.999996329689798
quests_explorationlevel3_human_00005,tr,0.999998264035026
quests_explorationlevel3_human_00006,zh-cn,0.99999897752292
quests_explorationlevel3_human_00007,fr,0.999996920397809
quests_explorationlevel4_human,fr,0.999996036444859
quests_explorationlevel4_human_00001,tr,0.999998082180401
quests_explorationlevel4_human_00002,zh-tw,0.999998712253198
quests_explorationlevel4_human_00003,zh-cn,0.999998608628174
quests_explorationlevel4_human_00004,fr,0.999998477076836
quests_explorationlevel4_human_00005,ru,0.999999999566626
quests_explorationlevel4_human_00006,de,0.999997841040737
quests_explorationlevel4_human_00007,pl,0.999998509265924
quests_explorationlevel5_human,ru,0.999999999035432
quests_explorationlevel5_human_00001,pl,0.999998941417318
quests_explorationlevel5_human_00002,zh-tw,0.999998031380669
quests_explorationlevel5_human_00003,de,0.999997156622643
quests_explorationlevel5_human_00004,zh-cn,0.999998728719993
quests_explorationlevel5_human_00005,fr,0.857140116902695
quests_explorationlevel5_human_00006,tr,0.999999712142277
quests_explorationlevel5_human_00007,fr,0.999997766397969
quests_explorationlevel6_human,ru,0.999999999990593
quests_explorationlevel6_human_00001,zh-cn,0.999997348169706
quests_explorationlevel6_human_00002,pl,0.999997222846294
quests_explorationlevel6_human_00003,tr,0.999996336728283
quests_explorationlevel6_human_00004,de,0.999995931021832
quests_explorationlevel6_human_00005,fr,0.999998180684949
quests_explorationlevel6_human_00007,zh-tw,0.999998336768472
quests_explorationlevel7_human,zh-cn,0.999997855458557
quests_explorationlevel7_human_00001,zh-tw,0.99999718840917
quests_explorationlevel7_human_00003,tr,0.999997826284817
quests_explorationlevel7_human_00004,pl,0.999998130638044
quests_explorationlevel7_human_00005,ru,0.999999999884209
quests_explorationlevel7_human_00006,de,0.999997171766443
quests_explorationlevel7_human_00007,fr,0.999998695125367
quests_explorationlevel8_human,,0.999995552235955
quests_explorationlevel8_human_00001,ru,0.999999999917663
quests_explorationlevel8_human_00002,tr,0.999998100929451
quests_explorationlevel8_human_00003,zh-cn,0.999999177598559
quests_explorationlevel8_human_00004,pl,0.999998784413256
quests_explorationlevel8_human_00005,de,0.999996726896819
quests_explorationlevel8_human_00006,zh-tw,0.999999873293261
quests_explorationlevel8_human_00007,fr,0.999996269801699
quests_explorationlevel9_human,zh-tw,0.999996637923971
quests_explorationlevel9_human_00001,de,0.999997000262351
quests_explorationlevel9_human_00002,ru,0.99999999995162
quests_explorationlevel9_human_00003,fr,0.999997576460975
quests_explorationlevel9_human_00004,zh-cn,0.999998126221034
quests_explorationlevel9_human_00005,pl,0.999998952745246
quests_explorationlevel9_human_00006,tr,0.999998907455106
quests_explorationlevel10_human,zh-tw,0.999998943836778
quests_explorationlevel10_human_00001,fr,0.999998930826757
quests_explorationlevel10_human_00002,,0.999995102132376
quests_explorationlevel10_human_00003,de,0.999997985353691
quests_explorationlevel10_human_00004,ru,0.99999999919963
quests_explorationlevel10_human_00005,pl,0.999998606961403
quests_explorationlevel10_human_00006,zh-cn,0.999998404277763
quests_explorationlevel10_human_00007,tr,0.999997643271028
quests_explorationlevel11_human,zh-cn,0.999999599426738
quests_explorationlevel11_human_00001,zh-tw,0.999998728235714
quests_explorationlevel11_human_00002,fr,0.999998388208588
quests_explorationlevel11_human_00003,ru,0.999999996346854
quests_explorationlevel11_human_00004,pl,0.999997158153311
quests_explorationlevel11_human_00006,tr,0.999999273533268
quests_explorationlevel11_human_00007,de,0.999997291917576
quests_global_human,zh-cn,0.999997344251579
quests_global_human_00001,tr,0.999997663206872
quests_global_human_00002,pl,0.999997489281193
quests_global_human_00003,fr,0.999996361917177
quests_global_human_00004,fr,0.857140705578208
quests_global_human_00005,zh-tw,0.99999833281579
quests_global_human_00006,ru,0.999999999585805
quests_global_human_00007,de,0.999997092102981
quests_invalid_human,fr,0.57142845174825
quests_invalid_human_00001,de,0.999998147019369
quests_invalid_human_00002,fr,0.999997971267783
quests_invalid_human_00003,zh-cn,0.999998163037581
quests_invalid_human_00004,tr,0.999998428619947
quests_invalid_human_00005,pl,0.999999007633511
quests_invalid_human_00006,zh-tw,0.999996068231647
quests_invalid_human_00007,ru,0.999999993128474
scrollEvents,zh-tw,0.99999714785321
scrollEvents_00001,zh-cn,0.999999189375748
scrollEvents_00002,fr,0.999998121530055
scrollEvents_00003,de,0.999996143833627
scrollEvents_00004,en,0.999996204196701
scrollEvents_00005,pl,0.999999117300973
scrollEvents_00006,tr,0.99999788007143
scrollEvents_00007,fr,0.999993213879152
scrollEvents_00008,ru,0.999999999953625
skillArguments,ru,0.999999993776454
skillArguments_00001,fr,0.999998777280267
skillArguments_00002,zh-tw,0.999998322679731
skillArguments_00003,fr,0.999997192226188
skillArguments_00004,en,0.999996783528664
skillArguments_00005,tr,0.999998980572924
skillArguments_00006,zh-cn,0.999998408806444
skillArguments_00007,pl,0.999998878003106
skillArguments_00008,de,0.999998776746596
skills,ru,0.999999994756205
skills_00001,zh-tw,0.999998584094007
skills_00002,fr,0.857139650062391
skills_00003,en,0.999996678179263
skills_00004,de,0.999997865526478
skills_00005,zh-cn,0.999999004034617
skills_00006,pl,0.999998113311364
skills_00007,tr,0.999998865594065
skills_00008,fr,0.999999079344719
tips,pl,0.999998804061277
tips_00001,zh-tw,0.999998732938661
tips_00002,fr,0.999996471895604
tips_00003,zh-cn,0.999997255255475
tips_00004,de,0.999997569641973
tips_00005,fr,0.999999326794706
tips_00006,ru,0.999999999994698
tips_00007,tr,0.99999811634252
tips_00008,en,0.99999697689909
ui,en,0.999995094920247
ui_00001,pl,0.999998202394713
ui_00002,zh-tw,0.999997718553401
ui_00003,fr,0.571429225506541
ui_00004,fr,0.99999695093738
ui_00005,zh-cn,0.999997790405714
ui_00006,tr,0.999999040658217
ui_00007,de,0.999999544607515
ui_00008,ru,0.999999999934491
unit.effects,zh-cn,0.999997105880775
unit.effects_00001,en,0.999996883046151
unit.effects_00002,,0.99999594520294
unit.effects_00003,tr,0.999999135333358
unit.effects_00004,ru,0.999999999909313
unit.effects_00005,zh-tw,0.999998217603497
unit.effects_00006,de,0.999996466110959
unit.effects_00007,pl,0.999998964398782
unit.effects_00008,fr,0.999998605336209
