[[EntryType]],[[Speaker]],[[*English*]],[[*Japanese*]],[[*MT*]],[[メモ]],[[管理用メモ]],[[*FileID*]],[[*Key*]],[[No]],[[SpeakerType]],14.89%
,,Elemental resistance +<b>{0}</b>,,元素抵抗+ <B> {0} </ B>,,,battle_00003,battle_unit_effect_increaseelementalresistance_arg1,22,,
,,Attack speed +<b>{0}</b>,攻撃速度 +<b>{0}</b>,攻撃速度+ <B> {0} </ B>,,,battle_00003,battle_unit_effect_increaseattackspeed_arg1,23,,1
,,Critical chance +<b>{0}</b>,,クリティカルチャンス+ <B> {0} </ B>,,,battle_00003,battle_unit_effect_increasecriticalchance_arg1,24,,
,,Shatter <b>{0}</b> Armor,,シャター<B> {0} </ B>アーマー,,,battle_00003,battle_unit_effect_armorshatter_arg1,25,,
,,<b>{0}</b> of attacker armor as true damage HP/s,,<B> {0} </ B>攻撃装甲の真の損傷のようなHP /秒,,,battle_00003,battle_unit_effect_attackerarmorpercentastruedamagepersecond_arg1,26,,
,,True damage <b>{0}</b> HP/s,,真損傷<B> {0} </ B> HP /秒,,,battle_00003,battle_unit_effect_truedamage_arg1,27,,
,,Mana regeneration <b>{0}</b> Mana/s,,マナ再生<B> {0} </ B>マナ/秒,,,battle_00003,battle_unit_effect_manaregeneration_arg1,28,,
,,Corrosive -<b>{0}</b> Armor each second,,腐食 -  <B> {0} </ B>アーマー各第,,,battle_00003,battle_unit_effect_corrosive_arg1,29,,
,,Item damage +<b>{0}</b>,,項目ダメージ+ <B> {0} </ B>,,,battle_00003,battle_unit_effect_increaseitemdamagepercentchange_arg1,30,,
,,Sunder <b>{1}</b> Armor,,サンダー<B> {1} </ B>アーマー,,,battle_00003,battle_unit_effect_sundered_arg2,31,,
,,+<b>{1}</b> {0},+<b>{1}</b> {0},+ <B> {1} </ B> {0},,,battle_00003,battle_unit_effect_increaseresistance_arg2,32,,1
,,-<b>{1}</b> {0},-<b>{1}</b> {0}, -  <B> {1} </ B> {0},,,battle_00003,battle_unit_effect_reduceresistance_arg2,33,,1
,,Frostbite <b>{0}</b> HP/s and {1} slow,,凍傷<B> {0} </ B> HP / sおよび{1}遅いです,,,battle_00003,battle_unit_effect_frostbite_arg2,34,,
,,{0} hits {1} for <b>{2}</b> {3} damage {4},,<B> {2} </ B> {3}損傷が{0}ヒット{1} {4},,,battle_00003,battle_log_damaged_arg5,35,,
,,{0} is raged,,{0}は激怒であります,,,battle_00003,battle_log_unit_effect_rage_arg1,36,,
,,{0} is blinded,,{0}は盲検され,,,battle_00003,battle_log_unit_effect_blinded_arg1,37,,
,,{0} is stunned,,{0}は気絶あります,,,battle_00003,battle_log_unit_effect_stunned_arg1,38,,
,,{0} is dazed,,{0}は幻惑され,,,battle_00003,battle_log_unit_effect_dazed_arg1,39,,
,,{0} is invulnerable,,{0}は不死身です,,,battle_00003,battle_log_unit_effect_invulnerable_arg1,40,,
,,{0} is frozen,,{0}は凍結され,,,battle_00003,battle_log_unit_effect_freeze_arg1,41,,
,,{0} is immobilized,,{0}は固定化されています,,,battle_00003,battle_log_unit_effect_immobilized_arg1,42,,
,,{0} is immovable,,{0}は不動です,,,battle_00003,battle_log_unit_effect_immovable_arg1,43,,
,,{0} is slowed by {1},,{0} {1}によって遅くなります,,,battle_00003,battle_log_unit_effect_slowed_arg2,44,,
,,{0} is damaged <b>{1}</b> damage per second,,{0} <B> {1} </ B>破損し毎秒ダメージ,,,battle_00003,battle_log_unit_effect_damaged_arg2,45,,
,,{0} is burning <b>{1}</b> damage per second,,{0} <B> {1} </ B>毎秒ダメージを燃焼されます,,,battle_00003,battle_log_unit_effect_burning_arg2,46,,
,,{0} is poisoned <b>{1}</b> damage per second,,{0} <B> {1} </ B>被毒され、毎秒ダメージ,,,battle_00003,battle_log_unit_effect_poisoned_arg2,47,,
,,{0} is affected by elemental weakness ( <b>{1}</b> ),,{0}は、元素の弱点（<B> {1} </ B>）によって影響されます,,,battle_00003,battle_log_unit_effect_elementalweakness_arg2,48,,
,,{0} is affected by weakness ( <b>{1}</b> ),,{0}は弱（<B> {1} </ B>）によって影響されます,,,battle_00003,battle_log_unit_effect_weakness_arg2,49,,
,,{0} is marked and applied damage is increased by <b>{1}</b>,,{0}マークされ、適用されたダメージを増加させる<B> {1} </ B>,,,battle_00003,battle_log_unit_effect_marked_arg2,50,,
,,{0} is healed <b>{1}</b> HP per second,,{0} <B> {1} </ B>癒され毎秒HP,,,battle_00003,battle_log_unit_effect_healing_arg2,51,,
,,{0} is drained <b>{1}</b> HP per second,,{0} <B> {1} </ b>に排出される毎秒HP,,,battle_00003,battle_log_unit_effect_draininghealth_arg2,52,,
,,{0} is drained <b>{1}</b> mana per second,,毎秒{0}が排出される<B> {1} </ B>マナ,,,battle_00003,battle_log_unit_effect_drainingmana_arg2,53,,
,,{0} is bleeding <b>{1}</b> HP per second,,{0}毎秒HP <B> {1} </ b>に出血しています,,,battle_00003,battle_log_unit_effect_bleeding_arg2,54,,
,,{0} has elemental resistance increased by <b>{1}</b>,,{0}は増加元素抵抗を有している<B> {1} </ B>,,,battle_00003,battle_log_unit_effect_increaseelementalresistance_arg2,55,,
,,{0} is drained <b>{1}</b> HP per second,,{0} <B> {1} </ b>に排出される毎秒HP,,,battle_00003,battle_log_unit_effect_increaseattackspeed_arg2,56,,
,,{0} has critical chance increased by <b>{1}</b>,,{0} <B> {1} </ B>クリティカルチャンスを増加しました,,,battle_00003,battle_log_unit_effect_increasecriticalchance_arg2,57,,
,,{0} has armor reduced by <b>{1}</b>,,{0}装甲によって減少した<B> {1} </ B>,,,battle_00003,battle_log_unit_effect_armorshatter_arg2,58,,
,,{0} has applied <b>{1}</b> of attacker armor as true damage,,{0} <B> {1} </ B>真の損傷のような攻撃の装甲を適用しています,,,battle_00003,battle_log_unit_effect_attackerarmorpercentastruedamagepersecond_arg2,59,,
,,{0} is damaged <b>{1}</b> true damage per second,,{0} <B> {1} </ B>毎秒真損傷破損しています,,,battle_00003,battle_log_unit_effect_truedamage_arg2,60,,
,,{0} has mana regeneration: <b>{0}</b> per second,,毎秒<B> {0} </ B>：{0}マナ再生を有します,,,battle_00003,battle_log_unit_effect_manaregeneration_arg2,61,,
,,{0} has <b>{1}</b> armor removed per second,,{0} <B> {1} </ b>]を有する装甲毎秒除去します,,,battle_00003,battle_log_unit_effect_corrosive_arg2,62,,
,,{0} has item damage increased by <b>{1}</b>,,{0}は増加アイテムの損傷を有している<B> {1} </ B>,,,battle_00003,battle_log_unit_effect_increaseitemdamagepercentchange_arg2,63,,
,,{0}'s armor is reduced by <b>{2}</b>,,{0}の装甲が低減される<B> {2} </ B>,,,battle_00003,battle_log_unit_effect_sundered_arg3,64,,
,,{0} has {1} increased by <b>{2}</b>,,{0} {1}が増加している<B> {2} </ B>,,,battle_00003,battle_log_unit_effect_increaseresistance_arg3,65,,
,,{0} has {1} reduced by <b>{2}</b>,,{0} {1} <B> {2} </ b>に減少しています,,,battle_00003,battle_log_unit_effect_reduceresistance_arg3,66,,
,,{0} is <b>{1}</b> water frostbite damage per second and {2} slow,,{0}は遅い第{2}あたり<B> {1} </ B>水凍傷損傷であります,,,battle_00003,battle_log_unit_effect_frostbite_arg3,67,,
,,<color=#{0}>{1}</color>,,<色=＃{0}> {1} </色>,,,battle_00003,battle_log_colored_args2,68,,
,,(<b>{0}</b> resisted),,（<B> {0} </ b>の抵抗）,,,battle_00003,battle_log_damaged_resisted_arg1,69,,
,,(<b>{0}</b> magnified),,（<B> {0} </ b>の拡大）,,,battle_00003,battle_log_damaged_magnified_arg1,70,,
,,"Risen forces are arriving from other parts of the tower through summoning portals. Destroy them before your party is overrun.<br>(New Battle Mode: <b>Portals</b>. Destroy them one by one, as the enemies will continue to spawn while they are operational.)",,復活の力が召喚ポータルを通じてタワーの他の部分から到着しています。あなたのパーティーがオーバーランする前にそれらを破壊<BR>（新バトルモード：<B>ポータル</ b>を、彼らが動作している間、敵は産卵していきますと、それらを一つ一つを破壊します。）。,,,battleEvents_00006,1_objects_test_portals_3_description,1,,
,,"Risen forces are arriving from other parts of the tower through summoning portals. Destroy them before your party is overrun.<br>(New Battle Mode: <b>Portals</b>. Destroy them one by one, as the enemies will continue to spawn while they are operational.)",,復活の力が召喚ポータルを通じてタワーの他の部分から到着しています。あなたのパーティーがオーバーランする前にそれらを破壊<BR>（新バトルモード：<B>ポータル</ b>を、彼らが動作している間、敵は産卵していきますと、それらを一つ一つを破壊します。）。,,,battleEvents_00006,1_objects_test_orbs_3_description,2,,
,,"Risen forces are arriving from other parts of the tower through summoning portals. Destroy them before your party is overrun.<br>(New Battle Mode: <b>Portals</b>. Destroy them one by one, as the enemies will continue to spawn while they are operational.)",,復活の力が召喚ポータルを通じてタワーの他の部分から到着しています。あなたのパーティーがオーバーランする前にそれらを破壊<BR>（新バトルモード：<B>ポータル</ b>を、彼らが動作している間、敵は産卵していきますと、それらを一つ一つを破壊します。）。,,,battleEvents_00006,1_objects_test_traps_2_description,3,,
,,"Risen forces are arriving from other parts of the tower through summoning portals. Destroy them before your party is overrun.<br>(New Battle Mode: <b>Portals</b>. Destroy them one by one, as the enemies will continue to spawn while they are operational.)",,復活の力が召喚ポータルを通じてタワーの他の部分から到着しています。あなたのパーティーがオーバーランする前にそれらを破壊<BR>（新バトルモード：<B>ポータル</ b>を、彼らが動作している間、敵は産卵していきますと、それらを一つ一つを破壊します。）。,,,battleEvents_00006,1_objects_test_towers_4_description,4,,
,,"A ... thing made of stone and crystals is blocking the way. One strong hit by Kane's sword should shatter it. It cannot pose a great danger, being so damaged, can it? It barely moves as it approaches your champions, leaking crystal light from all over its body.",,石とクリスタルで作られた...事は道をブロックしています。ケインの剣によって一つの強力なヒットはそれを粉々にする必要があります。それができるので、ダメージを受ける、大きな危険をもたらすことはできませんか？それは、その本体の上にすべての結晶光漏れ、あなたのチャンピオンに近づくように、それはかろうじて動きます。,,,battleEvents_00006,1_zboss_lv0_damaged_guardian_t1_description,5,,
,,Defeat a small group of ... what appears to be walking skeletons.,,小グループ...スケルトンを歩いているように見える何を倒します。,,,battleEvents_00006,1_introdark_tutorial_description,6,,
,,"A group of Dead Knights and Magi Spirits are standing idly here, observing you with their dead eyes. Be warned, it will not be an easy fight. Dead Knights are heavily armored, while Wraiths can drain life of your champions.",,死者の騎士と賢者スピリッツのグループは、彼らの死んだ目であなたを観察し、ここでぼんやり立っています。注意して、それは簡単な戦いではありません。レイスはあなたのチャンピオンの人生を排出することができながら、死んだ騎士は重く、装甲されています。,,,battleEvents_00006,1_introdark_risenlarge_description,7,,
,,"A small group of Risen creatures is blocking the passage in this eerie cave filled with swirling green fog. When your champions approach, they raise their eyeless heads and engage. Kane and Maeve ready their weapons...",,復活生物の小グループは、グリーン霧を旋回で満たされ、この不気味洞窟内の通路をブロックしています。あなたのチャンピオンが近づいたとき、彼らはアイレスの頭を上げて取り組んでいます。ケインとMaeveのは、彼らの武器を準備ができて...,,,battleEvents_00006,1_risen_small_group_normal_description,8,,
,,"A group of Risen creatures is standing guard here, blocking the passage.",,復活の生き物のグループは、通路を遮断、ここでガードを立っています。,,,battleEvents_00006,1_risen_small_group_swarm_description,9,,
,,Enemy forces have trapped one of your champions. Enemies will approach at an increasing rate. <br><br>New Battle Mode: <br>Trap</b>. Destroy the metal cage to free your champion.,,敵軍はあなたのチャンピオンのいずれかをトラップされています。敵は増加率で近づきます。 <BR> <BR>新しいバトルモード：<BR>罠</ B>。あなたのチャンピオンを解放する金属ケージを破壊します。,,,battleEvents_00006,1_risen_cave_ambush_1trap_description,10,,
,,"A group of large Risen enemies is standing guard here, protecting a glowing lever in the back.",,大復活の敵のグループがバックに輝くレバーを保護し、ここでガードを立っています。,,,battleEvents_00006,1_risen_lever_large_risen_intro_description,11,,
,,"Elite Wraiths are assulting your party. They are not heavily armored, but have a very strong life drain. Break their channel, whenever possible.<br><br>(New Battle Mode: <b>Elites only</b>)",,エリートレイスは、あなたのパーティーをassultingています。彼らは重装甲が、非常に強い生命ドレインを持っていません。可能な限り自分のチャンネルを、ブレーク<BR> <BR>（新バトルモード：<B>エリートのみ</ B>）。,,,battleEvents_00006,1_risen_hidden_passage_elite_description,12,,
,,"Defeat a powerful Risen Guard, formely a high ranking Magi, perhaps even one of the First Magus. It commands powerful magic and has ability to summon guards to his aid. Unlike normal encounters, this one ends when you defeat the Boss.",,強力な復活ガード、マギ、まずメイガスのおそらく1をランク付けformely高を倒します。それは強力な魔法を命令し、彼の援助に警備員を召喚する能力を持っています。通常の出会いとは異なり、この一端あなたはボスを倒すとき。,,,battleEvents_00006,1_boss_lv1_reaper_guard_description,13,,
,,Throwing a stone down a mysterious well is never a good idea. A distant flash marks the arrival of a large group of Risen creatures.,,神秘的なだけでなく上下の石を投げることは良いアイデアになることはありません。遠くのフラッシュマーク復活された生物の大集団の到着。,,,battleEvents_00006,1_risen_well_ambush_description,14,,
,,Dark-skinned Orcs are attacking your party without any provocation. Their red eyes are full of hatred.,,浅黒い肌オークがいかなる挑発せずにあなたのパーティーを攻撃しています。彼らの赤い目は憎悪に満ちています。,,,battleEvents_00006,1_orc_at_skeleton_normal_description,15,,
,,"A group of Orcs are standing guard here. When they see your party, they shout a fierce battle cry and charge.",,オークのグループは、ここでガードを立っています。彼らはあなたのパーティーを見たとき、彼らは激しい戦いの叫びと電荷を叫びます。,,,battleEvents_00006,1_orc_at_forge_normal_description,16,,
,,"Different Orc units are challenging your party, advancing one by one.",,別のオークユニットは、1つずつ進め、あなたのパーティーに挑戦しています。,,,battleEvents_00006,1_orc_medium_after_well_description,17,,
,,Large force of Risen Archers is assaulting your party. Can you survive their rain of arrows?,,復活した射手の大きな力は、あなたのパーティーに暴行されています。あなたは矢の彼らの雨を生き残ることはできますか？,,,battleEvents_00006,1_risen_hard_after_well_description,18,,
,,Orcs have managed to activate an ancient trap. Free your locked champion before your party is overrun by an increasing number of enemies.,,オークは、古代のトラップをアクティブに管理しています。あなたのパーティーは、敵の数の増加により、オーバーランである前に、あなたのロックされたチャンピオンを解放します。,,,battleEvents_00006,1_orc_devron_ambush_1trap_description,19,,
,,"A group of Cyclops are standing around a boiling cauldron. When they notice the party, they ready their weapons, bestial grins on their face.  Have you interrupted their dinner.. or are your champions a main course?",,サイクロプスのグループが沸騰大釜の周りに立っています。彼らはパーティーに気付いたとき、彼らは彼らの顔に自分の武器、獣にやにや笑いをREADY。あなたは自分の夕食を中断してい..またはあなたのチャンピオンは、メインコースですか？,,,battleEvents_00006,1_orc_camp_only_cyclops_description,20,,
,,A very large group of regular Orc creatures is swarming your position. Stand fast and survive all enemy waves.<br>(New Battle Mode: <b>Swarm</b>. Enemies will try to swarm your position in large number.),,通常のオークの生き物の非常に大規模なグループは、自分の位置を群がっています。高速のスタンドと、すべての敵の波を乗り切る<BR>（新バトルモード：<B>群れ</ b>の敵が多数で自分の位置を群れしようとします。）。,,,battleEvents_00006,1_orc_rethora_swarm_description,21,,
,,"Risen forces are arriving from other parts of the tower through summoning portals. Destroy them before your party is overrun.<br>(New Battle Mode: <b>Portals</b>. Destroy them one by one, as the enemies will continue to spawn while they are operational.)",,復活の力が召喚ポータルを通じてタワーの他の部分から到着しています。あなたのパーティーがオーバーランする前にそれらを破壊<BR>（新バトルモード：<B>ポータル</ b>を、彼らが動作している間、敵は産卵していきますと、それらを一つ一つを破壊します。）。,,,battleEvents_00006,1_risen_elidra_portal_description,22,,
,,A group of Elite Knights rise to defend the remnants of the ancient First Magus Barakhus. There is no escaping from their wrath. Your champions movement speed is significantly reduced on this cursed ground.,,エリート騎士のグループは、古代まずメイガスBarakhusの残党を守るために立ち上がります。彼らの怒りからのエスケープはありません。あなたのチャンピオンの移動速度が大きく、この呪われた地に減少しています。,,,battleEvents_00006,1_mausoleum_eliteknights_description,23,,
,,An ancient air elemental is guarding this altar. It commands powerful magic and will not let your party pass without a fight.,,古代の空気の元素はこの祭壇を守っています。それは強力な魔法を命令し、あなたのパーティーは戦いなしで通過させないであろう。,,,battleEvents_00006,1_boss_lv1_air_guardian_description,24,,
,,Orc chieftain is guarding the passage to the lower floor. Defeat him and his minions. Beware of the primal earth magic at his command.,,オークの族長は、下の階への通路を守っています。彼と彼の手下を倒します。彼のコマンドで原始地球の魔法に注意してください。,,,battleEvents_00006,1_boss_lv1_gray_shaman_description,25,,
,,A chest made of sentient wood is jumping at your party. Ancients used them to guard valuable treasure.,,衆生木で作られた胸はあなたのパーティーでジャンプしています。古代人は、貴重な宝物を守るためにそれらを使用しました。,,,battleEvents_00006,1_mimic_boss_description,26,,
,,"Your party encounters a new enemy - constructs created from pure energy. They are part of the tower defense system and adjust to the threat. This group seems relatively small, so your champions should use the opportunity and learn their combat capabilities.",,純粋なエネルギーから作成された構造 - あなたのパーティーは新たな敵に遭遇します。彼らは、タワーの防衛システムの一部であり、脅威に調整します。このグループは比較的小さいと思われるので、あなたのチャンピオンは、機会を利用し、自分の戦闘能力を学ぶべきです。,,,battleEvents_00006,2_construct_before_barrier_normal_description,27,,
,,Enemies have activated ancient portals and are reinforcing their position here. Destroy all portals.,,敵は古代のポータルを有効にしているし、ここに自分の位置を強化しています。すべてのポータルを破壊します。,,,battleEvents_00006,2_construct_teleporter_portals_mixed_description,28,,
,,A group of Orcs is blocking the path of your party. Those Orcs seem different that encountered previously - they are better armored and have better weapons.,,オークのグループは、あなたのパーティーのパスをブロックしています。これらのオークは、以前に遭遇したことを違うように見える - 彼らはよりよい装甲され、より良い武器を持っています。,,,battleEvents_00006,2_orc_near_totem_normal_description,29,,
,,"A large group of Orcs is swarming your position, angered by the destruction of their magic totem.",,オークの大規模なグループは、彼らの魔法のトーテムを破壊することで怒らせ、自分の位置を群がっています。,,,battleEvents_00006,2_orc_totem_physical_description,30,,
,,"A group of elite Orcs is approaching your position, angered by the destruction of their magic totem.",,エリートオークのグループは、彼らの魔法のトーテムを破壊することで怒らせ自分の位置を、近づいています。,,,battleEvents_00006,2_orc_totem_magical_description,31,,
,,"Defend two Mana Orbs against the large group of Construct Blademasters, Crossbowmans and Guards. If you let them support each other, they will decimate your party.<br><br>(New Battle Mode: <b>Defend Mana Orbs</b>. Enemies here are trying to destroy mana orbs. When all are destroyed, the fight is lost.)",,構築物のBlademasters、Crossbowmansとガードの大規模なグループに対して2つのマナオーブを守ります。あなたは彼らがお互いをサポートして聞かせている場合、彼らはあなたのパーティーを間引くます<BR> <BR>（新バトルモード：。。<B>マナオーブ</ b>]を守れここに敵がマナのオーブを破壊しようとしているすべてが破壊されている場合は、。戦いは失われます。）,,,battleEvents_00006,2_construct_behind_snake_manaorbs_description,32,,
,,"Large group of Constructs, created by tower defense mechanism. Apparently this mechanism, whatever it is, considers your party a bigger threat.",,タワーの防衛メカニズムによって作成された構築物の大規模なグループ、。どうやらこのメカニズムは、それが何であれ、あなたのパーティー大きな脅威と見なします。,,,battleEvents_00006,2_construct_southsquare_normal_description,33,,
,,"Ancient mechanical guard have been awakened by your champions. Area in this prison cell is under the influence of restricting magic, reducing the movement speed of your champions by 50%",,古代の機械的なガードは、あなたのチャンピオンで起こされています。この刑務所の独房での面積は50％で、あなたのチャンピオンの移動速度を減少、魔法の制限の影響下にあります,,,battleEvents_00006,2_boss_lv2_ancient_guard_description,34,,
,,"Constructs have trapped two of your champions in ancient traps. Destroy them and free your champion, before your party is overrun.",,構築物は、古代の罠にあなたのチャンピオンの2が閉じ込められています。それらを破壊し、あなたのパーティーがオーバーランする前に、あなたのチャンピオンを解放します。,,,battleEvents_00006,2_construct_prisoncell_1trap_description,35,,
,,"Tower defense mechanism had created similar construct to Risen Reaper, but with higher magic powers. Approach him tactically or just race the clock against the increasing number of approaching guards.",,タワーの防衛メカニズムは、より高い魔法の力を持つ、復活死神に似た構造を作成していました。戦術的に彼に近づくか、単に近づいて警備員の増加に対してクロックをレース。,,,battleEvents_00006,2_boss_lv2_fallen_magi_description,36,,
,,A long stream of large enemies are approaching your party. Can you defend against such a tactics? Using traps might be a good idea.,,大規模な敵の長いストリームは、あなたのパーティーに近づいています。あなたは、このようなAの戦術を防御することはできますか？トラップを使用することは良い考えかもしれません。,,,battleEvents_00006,2_construct_torturechamber_onlylarge_description,37,,
,,A group of large and elite Orcs has made this cave their home. They welcome the sight of your party - hoping to be entertained by your champions' demise.,,大エリートオークのグループは、この洞窟の自宅てきました。あなたのチャンピオンズ終焉によって楽しまれることを望んで - 彼らはあなたのパーティーの視力を歓迎します。,,,battleEvents_00006,2_orc_waterfall_onlylarge_description,38,,
,,"A Lesser Earth Elemental is guarding this dead end passage. Its armor looks nigh impenetrable and it has very strong Earth based attacks and skills. Engage only when you are ready. Area is enchanted, increasing health regeneration to both your champions and the enemy alike.",,レッサーエレメンタル地球はこの行き止まり通路を守っています。その鎧のルックスは不可解近付いと、それは非常に強力な地球ベースの攻撃とスキルを持っています。あなたは準備ができている場合にのみ従事。エリアはあなたのチャンピオンと敵問わずに健康再生を高め、魅了されます。,,,battleEvents_00006,2_boss_lv2_earth_guardian_description,39,,
,,"Orcs have set their main base here. Destroy all three portals to prevent them from summoning reinforcements. Each portal is a summon point for different mix of enemies, judge your first attack well.",,オークは、ここで彼らの主な拠点を設定しています。援軍を召喚からそれらを防ぐために、すべての3つのポータルを破壊します。各ポータルは、あなたの最初の攻撃をよく判断し、敵の異なるミックスのための召喚ポイントです。,,,battleEvents_00006,2_orc_siegearea_3portals_description,40,,
,,A massive Orc army led by another Gray Shaman is gathered here to protect their Leader. They will not let you pass. This fight might yet be the most difficult your champions faced so far.,,別のグレイシャーマン率いる大規模なオークの軍隊は、彼らの指導者を保護するためにここに集まっています。彼らは、あなたが渡すことができません。この戦いはまだ、これまで直面している最も困難なあなたのチャンピオンであるかもしれません。,,,battleEvents_00006,2_orc_beforeleader_onlylarge_description,41,,
,,"Orc Leader is standing before your party. This hulking creature, in his prime strength, commands powerful magic and can summon Orcs to his aid. Prepare for a very difficult fight.",,オークリーダーは、あなたのパーティーの前に立っています。この図体の大きいクリーチャーは、全盛期強度で、強力な魔法を命令し、彼の援助にオークを召喚することができます。非常に困難な戦いの準備をします。,,,battleEvents_00006,2_boss_lv2_earthcaller_100%_description,42,,
,,"Enemies have reactivated an ancient defense towers here. <br>(New Combat Mode: <b>Towers</b>. In this mode there can be multiple towers positioned across the map, that limit the tactical options your party has. Destroy them - early or when you clear all enemies.)",,敵はここに古代の防衛塔を再活性化しています。 <BR>（新戦闘モード：<B>タワーズ</ B>このモードでは、その限度あなたのパーティーが持っている戦術的なオプションを、マップ全体に配置され、複数のタワーがあることができ、それらを破壊する - 早期場合、またはあなたがすべての敵をオフにします。。。 ）,,,battleEvents_00006,2_construct_libraryentrance_mixed_description,43,,
,,Enemies have activated ancient portals and are reinforcing their position here. Destroy the portals and all enemies. This group is very determined to stop your advance. Prepare for a long fight.,,敵は古代のポータルを有効にしているし、ここに自分の位置を強化しています。ポータルとすべての敵を破壊します。このグループは非常にあなたの進歩を停止するように決定されます。長い戦いの準備をします。,,,battleEvents_00006,2_orc_levelend_3portals_description,44,,
,,A very large group of frightened Orcs spotted your party. They hold their weapons in grim determination and then swarm your party - all at once. Surive their initial onslaught.,,おびえたオークの非常に大規模なグループは、あなたのパーティーを発見しました。すべて一度に - 彼らは厳しい決意で自分の武器を保持して、あなたのパーティーを群れ。彼らの初期の猛攻撃をSurive。,,,battleEvents_00006,2_orc_beastlvl_1_description,45,,
,,"A final stand of Orcs here. A desparate group led by two Grey Shamans. If only you could find a way to communicate with them, all this bloodshed would not be necessary.",,ここではオークの最終スタンド。 2つのグレイシャーマン率いる絶望グループ。あなたがそれらと通信するための方法を見つけることができる唯一の場合は、すべてこの流血は必要ではないでしょう。,,,battleEvents_00006,2_orc_swarm_description,46,,
,,"Savage beasts are attacking your party. Where did they come from? Your champions have believed that the Orcs are fierce and brutal, but those creatures make them docile sheep by comparison. You need to learn what this enemy is capable of.",,サベージ獣は、あなたのパーティーを攻撃しています。彼らはどこから来ましたか？あなたのチャンピオンは、オークが激しいと残忍であると考えられているが、それらのクリーチャーは、比較によって羊おとなしいそれらを作ります。あなたはこの敵が可能であるものを学ぶ必要があります。,,,battleEvents_00006,3_savage_introduction_description,47,,
,,"Savage beasts trapped two of your champions in their metal cages. Free them, before your party becomes their next meal.",,サベージ獣は、それらの金属ケージにあなたのチャンピオンのうちの2つを捕獲されました。あなたのパーティーは、彼らの次の食事になる前に、それらを解放します。,,,battleEvents_00006,3_savage_trap_2_description,48,,
,,Large beast creatures are assaulting your party. They are different than the ones met before. Their skin glows with strange green light.,,大型獣の生き物は、あなたのパーティーを暴行しています。彼らは前に会ったものとは異なっています。彼らの皮膚は奇妙な緑色の光を点灯します。,,,battleEvents_00006,3_savage_only_large_description,49,,
,,"Large beasts are standing guard in the sludge here, apparently enjoying it. The corruption has a positive effect on the enemy - they regenerate health each second.",,大型獣は明らかにそれを楽しんで、ここでは汚泥にガードを立っています。汚職は敵にプラスの効果を持っている - 彼らは、それぞれ第二の健康を再生成します。,,,battleEvents_00006,3_savage_swarm_description,50,,
